,loss,accuracy,val_loss,val_accuracy
0,1.3119454383850098,0.4025000035762787,1.1961064338684082,0.4650000035762787
1,1.0985521078109741,0.5062500238418579,1.0536003112792969,0.5475000143051147
2,0.9961161613464355,0.581250011920929,1.0200132131576538,0.5375000238418579
3,0.8875816464424133,0.6225000023841858,0.8921347260475159,0.6499999761581421
4,0.8189413547515869,0.6637499928474426,0.7833250164985657,0.6800000071525574
5,0.7569305300712585,0.6737499833106995,0.7864755392074585,0.6650000214576721
6,0.6928220391273499,0.7049999833106995,0.699761152267456,0.7024999856948853
7,0.6376295685768127,0.7400000095367432,0.6696534752845764,0.737500011920929
8,0.6151888370513916,0.7262499928474426,0.6372998356819153,0.7450000047683716
9,0.5564953088760376,0.7662500143051147,0.5860089659690857,0.7724999785423279
10,0.5010346174240112,0.7987499833106995,0.6207727789878845,0.7425000071525574
11,0.4992308020591736,0.8062499761581421,0.5799396634101868,0.7674999833106995
12,0.4544777572154999,0.8087499737739563,0.5970471501350403,0.7724999785423279
13,0.44496703147888184,0.8274999856948853,0.6150662899017334,0.7875000238418579
14,0.39745867252349854,0.831250011920929,0.594635546207428,0.8075000047683716
15,0.43426191806793213,0.8287500143051147,0.5742520093917847,0.8100000023841858
16,0.3867027759552002,0.8374999761581421,0.5791472792625427,0.7875000238418579
17,0.3580086827278137,0.8587499856948853,0.6069167256355286,0.7549999952316284
18,0.3229884207248688,0.8650000095367432,0.5762839913368225,0.7925000190734863
19,0.3085540533065796,0.8737499713897705,0.5043811202049255,0.7975000143051147
20,0.32039448618888855,0.8662499785423279,0.5437056422233582,0.7950000166893005
21,0.2723812460899353,0.893750011920929,0.559732973575592,0.8274999856948853
22,0.3054884970188141,0.8949999809265137,0.6005057096481323,0.8149999976158142
23,0.369604229927063,0.862500011920929,0.5833914279937744,0.8199999928474426
24,0.3010141849517822,0.8987500071525574,0.5359591245651245,0.8399999737739563
25,0.2353600114583969,0.9125000238418579,0.5829911231994629,0.8224999904632568
26,0.2895009517669678,0.8812500238418579,0.662516176700592,0.762499988079071
27,0.2695469260215759,0.8899999856948853,0.639309823513031,0.8324999809265137
28,0.24656541645526886,0.9049999713897705,0.5526486039161682,0.8424999713897705
29,0.19219689071178436,0.9399999976158142,0.6675959825515747,0.8125
30,0.2169039398431778,0.9075000286102295,0.5384231805801392,0.8475000262260437
31,0.24862152338027954,0.9012500047683716,0.625561535358429,0.8149999976158142
32,0.2412051260471344,0.8987500071525574,0.7486394643783569,0.8075000047683716
33,0.20054475963115692,0.9262499809265137,0.5623712539672852,0.8274999856948853
34,0.1732502430677414,0.9350000023841858,0.6133590936660767,0.8349999785423279
35,0.1754893660545349,0.9424999952316284,0.7641140222549438,0.7975000143051147
36,0.15689831972122192,0.9412500262260437,0.6420198678970337,0.8324999809265137
37,0.18486151099205017,0.9287499785423279,0.7221679091453552,0.8199999928474426
38,0.2683241665363312,0.9075000286102295,0.7701162099838257,0.8274999856948853
39,0.2410314381122589,0.9112499952316284,0.6165269017219543,0.8324999809265137
40,0.15776360034942627,0.9487500190734863,0.7433297038078308,0.8374999761581421
41,0.20080602169036865,0.9237499833106995,0.8288228511810303,0.8075000047683716
42,0.18105411529541016,0.9325000047683716,0.9013810157775879,0.8075000047683716
43,0.16480594873428345,0.9387500286102295,0.7854253649711609,0.8174999952316284
44,0.18769823014736176,0.9375,0.7828720808029175,0.8224999904632568
45,0.21482330560684204,0.9237499833106995,0.7878612279891968,0.8199999928474426
46,0.10804657638072968,0.9649999737739563,0.6778485774993896,0.8500000238418579
47,0.1463964879512787,0.9412500262260437,0.7940318584442139,0.8324999809265137
48,0.2214890420436859,0.9150000214576721,0.6900985836982727,0.8424999713897705
49,0.19867922365665436,0.9375,0.7044500708580017,0.8399999737739563
50,0.12190327048301697,0.9612500071525574,0.6991998553276062,0.8324999809265137
51,0.19640378654003143,0.9312499761581421,0.5487614870071411,0.8700000047683716
52,0.10310199856758118,0.9649999737739563,0.7092429399490356,0.8349999785423279
53,0.1220160648226738,0.9587500095367432,0.7384538054466248,0.8450000286102295
54,0.11680040508508682,0.9612500071525574,0.9197877645492554,0.824999988079071
55,0.12058030813932419,0.9537500143051147,0.9398806095123291,0.8100000023841858
56,0.16296181082725525,0.9462500214576721,0.8933418989181519,0.8025000095367432
57,0.13688060641288757,0.9599999785423279,0.7738239765167236,0.8174999952316284
58,0.10621792823076248,0.96875,0.9969687461853027,0.7975000143051147
59,0.1745809018611908,0.949999988079071,0.9319450259208679,0.7950000166893005
60,0.16400833427906036,0.9387500286102295,0.6859135627746582,0.8299999833106995
61,0.15562480688095093,0.9487500190734863,0.6646385192871094,0.8299999833106995
62,0.12499232590198517,0.9637500047683716,0.6708692908287048,0.8450000286102295
63,0.13951680064201355,0.9412500262260437,0.9002875685691833,0.8224999904632568
64,0.10090500116348267,0.9599999785423279,0.9869763255119324,0.7900000214576721
65,0.1177862361073494,0.9599999785423279,0.7315009236335754,0.8475000262260437
66,0.13533490896224976,0.9462500214576721,0.799327552318573,0.8349999785423279
67,0.09460479021072388,0.9725000262260437,0.761609673500061,0.8349999785423279
68,0.06452810019254684,0.981249988079071,0.8099541664123535,0.8324999809265137
69,0.11403883993625641,0.9662500023841858,1.2584666013717651,0.7950000166893005
70,0.20023585855960846,0.9399999976158142,0.8666273355484009,0.8125
71,0.12892895936965942,0.9662500023841858,0.6951415538787842,0.8450000286102295
72,0.09618423134088516,0.9599999785423279,0.9616356492042542,0.8149999976158142
73,0.2016315907239914,0.9449999928474426,0.7364335656166077,0.8149999976158142
74,0.12684212625026703,0.9537500143051147,0.5818133354187012,0.8725000023841858
75,0.0489724725484848,0.9837499856948853,0.7111682891845703,0.862500011920929
76,0.040101274847984314,0.9850000143051147,0.7479923963546753,0.875
77,0.034595511853694916,0.9887499809265137,0.8407991528511047,0.8525000214576721
78,0.08428634703159332,0.9737499952316284,0.9400030374526978,0.8475000262260437
79,0.18022038042545319,0.9524999856948853,1.1078524589538574,0.8075000047683716
80,0.28278669714927673,0.918749988079071,0.7289016842842102,0.8324999809265137
81,0.1141619086265564,0.9512500166893005,0.6968734860420227,0.8399999737739563
82,0.03912553936243057,0.987500011920929,0.785356879234314,0.8500000238418579
83,0.03942996636033058,0.9862499833106995,0.9891676902770996,0.7950000166893005
84,0.10205622762441635,0.9649999737739563,1.0800822973251343,0.8149999976158142
85,0.1997571438550949,0.9337499737739563,0.9564425945281982,0.8274999856948853
86,0.15446439385414124,0.949999988079071,0.642448365688324,0.8650000095367432
87,0.06854334473609924,0.9800000190734863,0.6686708927154541,0.8600000143051147
88,0.04203680157661438,0.9850000143051147,0.8376415967941284,0.8575000166893005
89,0.020171064883470535,0.9937499761581421,0.7524901032447815,0.8774999976158142
90,0.04106220230460167,0.9825000166893005,1.0439082384109497,0.8550000190734863
91,0.06067829579114914,0.9762499928474426,0.9281047582626343,0.8525000214576721
92,0.11135350912809372,0.9649999737739563,0.8180977702140808,0.8725000023841858
93,0.11688931286334991,0.9637500047683716,0.9722777009010315,0.824999988079071
94,0.19232335686683655,0.9437500238418579,0.9933215975761414,0.8025000095367432
95,0.22059780359268188,0.9262499809265137,0.8350743055343628,0.8025000095367432
96,0.13700497150421143,0.9599999785423279,0.765974223613739,0.824999988079071
97,0.08372092992067337,0.9700000286102295,0.9804257750511169,0.8399999737739563
98,0.12706753611564636,0.9512500166893005,0.8610984086990356,0.8075000047683716
99,0.1781110167503357,0.9300000071525574,0.8945570588111877,0.8299999833106995
100,0.09017319977283478,0.9712499976158142,0.8182643055915833,0.8199999928474426
101,0.09449233114719391,0.9700000286102295,0.7045134902000427,0.8424999713897705
102,0.1429387331008911,0.9524999856948853,0.7669757008552551,0.8299999833106995
103,0.20588214695453644,0.9412500262260437,0.6801407337188721,0.8374999761581421
104,0.15434382855892181,0.9437500238418579,0.7196657657623291,0.8500000238418579
105,0.08495140820741653,0.9700000286102295,0.6694867014884949,0.8650000095367432
106,0.05739298835396767,0.9825000166893005,0.765841007232666,0.8675000071525574
107,0.030311407521367073,0.9900000095367432,0.7953479290008545,0.862500011920929
108,0.060182105749845505,0.9862499833106995,0.9050053954124451,0.8575000166893005
109,0.04079741612076759,0.9850000143051147,0.9936374425888062,0.8349999785423279
