epoch,accuracy,loss,val_accuracy,val_loss
0,0.4399999976158142,1.194284200668335,0.5400000214576721,0.9965876936912537
1,0.6512500047683716,0.8086671233177185,0.6875,0.9011013507843018
2,0.7412499785423279,0.6204704642295837,0.6499999761581421,0.8162798881530762
3,0.8199999928474426,0.44443371891975403,0.7900000214576721,0.6553436517715454
4,0.8587499856948853,0.3697740137577057,0.8100000023841858,0.557397186756134
5,0.8537499904632568,0.3741903305053711,0.8399999737739563,0.5162939429283142
6,0.8450000286102295,0.3436983525753021,0.7599999904632568,0.6946302056312561
7,0.8799999952316284,0.331755667924881,0.8299999833106995,0.6486040353775024
8,0.8837500214576721,0.2964399456977844,0.7950000166893005,0.6839376091957092
9,0.8962500095367432,0.24761520326137543,0.8349999785423279,0.5372955203056335
10,0.8999999761581421,0.268627792596817,0.800000011920929,0.7369937300682068
11,0.9449999928474426,0.14321090281009674,0.8525000214576721,0.5992575287818909
12,0.9412500262260437,0.14401882886886597,0.8550000190734863,0.6644507646560669
13,0.9325000047683716,0.21507376432418823,0.8650000095367432,0.6248373985290527
14,0.9237499833106995,0.22896887362003326,0.8299999833106995,0.6049079298973083
15,0.9375,0.16633689403533936,0.862500011920929,0.5578414797782898
16,0.9462500214576721,0.14231108129024506,0.862500011920929,0.6447722911834717
17,0.9512500166893005,0.1522912085056305,0.8550000190734863,0.5459592938423157
18,0.9350000023841858,0.1874614953994751,0.8600000143051147,0.5400588512420654
19,0.9449999928474426,0.1574833244085312,0.8600000143051147,0.46661651134490967
20,0.9624999761581421,0.115518718957901,0.8824999928474426,0.5226683616638184
21,0.9574999809265137,0.1014992743730545,0.8849999904632568,0.43120869994163513
22,0.9362499713897705,0.20255516469478607,0.862500011920929,0.5997071862220764
23,0.9024999737739563,0.3422333896160126,0.8100000023841858,0.5783942341804504
24,0.918749988079071,0.19482654333114624,0.8600000143051147,0.49343064427375793
25,0.9462500214576721,0.15869492292404175,0.8500000238418579,0.6307665705680847
26,0.9424999952316284,0.16937299072742462,0.8725000023841858,0.7424165606498718
27,0.9524999856948853,0.15545478463172913,0.8650000095367432,0.6310608386993408
28,0.9512500166893005,0.12401285767555237,0.8600000143051147,0.7369450330734253
29,0.9712499976158142,0.08659158647060394,0.8924999833106995,0.6209616661071777
30,0.9549999833106995,0.14579927921295166,0.8849999904632568,0.6349400877952576
31,0.9262499809265137,0.28573092818260193,0.8550000190734863,0.5835224390029907
32,0.918749988079071,0.2454601526260376,0.8224999904632568,0.8104634881019592
33,0.9262499809265137,0.20194967091083527,0.8349999785423279,0.7403528094291687
34,0.9537500143051147,0.12113749235868454,0.862500011920929,0.665239691734314
35,0.9750000238418579,0.06202341988682747,0.8924999833106995,0.5717648863792419
36,0.9850000143051147,0.05142734572291374,0.8575000166893005,0.6827142238616943
37,0.9762499928474426,0.07117842882871628,0.8725000023841858,0.6760134100914001
38,0.9662500023841858,0.09386727213859558,0.8600000143051147,0.6500808596611023
39,0.9612500071525574,0.14124900102615356,0.8324999809265137,0.9792625308036804
40,0.9537500143051147,0.2048429250717163,0.8525000214576721,0.5873828530311584
41,0.956250011920929,0.12523140013217926,0.8500000238418579,0.7625083327293396
42,0.9637500047683716,0.12853220105171204,0.8349999785423279,0.8198338150978088
43,0.9612500071525574,0.11629384756088257,0.8650000095367432,0.5743614435195923
44,0.9624999761581421,0.1084832176566124,0.8600000143051147,0.6946423053741455
45,0.9750000238418579,0.08796720206737518,0.8774999976158142,0.6615732312202454
46,0.9825000166893005,0.07064471393823624,0.8725000023841858,0.6024757623672485
47,0.9825000166893005,0.04490770772099495,0.8424999713897705,1.0513560771942139
48,0.9487500190734863,0.19071081280708313,0.8450000286102295,0.7219718098640442
49,0.9662500023841858,0.09383618086576462,0.8525000214576721,0.7793383598327637
50,0.9700000286102295,0.10417994856834412,0.8500000238418579,0.8579323291778564
51,0.9524999856948853,0.1855669915676117,0.8324999809265137,0.813129186630249
52,0.949999988079071,0.18445266783237457,0.8725000023841858,0.4437711834907532
53,0.9700000286102295,0.098161481320858,0.8700000047683716,0.5449446439743042
54,0.9837499856948853,0.04258742928504944,0.8849999904632568,0.541885256767273
55,0.9825000166893005,0.056407757103443146,0.8774999976158142,0.514254629611969
56,0.9624999761581421,0.13235557079315186,0.8575000166893005,0.6512304544448853
